generation,best_cost
0,796
1,796
2,796
3,795
4,795
5,795
6,780
7,774
8,769
9,764
10,759
11,747
12,747
13,743
14,724
15,718
16,718
17,718
18,718
19,718
20,718
21,718
22,718
23,718
24,718
25,718
26,718
27,718
28,718
29,718
30,718
31,718
32,718
33,718
34,718
35,718
36,718
37,718
38,718
39,718
40,718
41,718
42,718
43,718
44,718
45,718
46,718
47,718
48,718
49,718
50,718
51,718
52,718
53,718
54,718
55,718
56,718
57,718
58,718
59,718
60,718
61,718
62,718
63,710
64,710
65,710
66,710
67,710
68,710
69,710
70,710
71,710
72,710
73,710
74,710
75,710
76,710
77,710
78,710
79,710
80,710
81,710
82,710
83,710
84,710
85,710
86,710
87,710
88,710
89,710
90,710
