generation,best_cost
0,614
1,610
2,610
3,610
4,610
5,599
6,596
7,587
8,583
9,583
10,576
11,576
12,576
13,576
14,576
15,576
16,576
17,576
18,576
19,576
20,576
21,576
22,576
23,576
24,576
25,576
26,576
27,576
28,573
29,573
30,573
31,573
32,573
33,573
34,573
35,573
36,573
37,573
38,573
39,573
40,573
41,573
42,573
43,566
44,566
45,566
46,566
47,566
48,566
49,566
50,566
51,566
52,566
53,566
54,566
55,566
56,566
57,566
58,566
59,566
60,566
61,566
62,566
63,566
64,566
65,566
66,566
67,566
68,566
69,566
70,566
71,566
72,566
73,566
74,566
75,566
76,566
77,566
78,566
79,566
80,566
81,566
82,566
83,566
84,566
85,566
86,566
87,566
88,566
89,566
90,566
