generation,best_cost
0,987
1,987
2,987
3,983
4,961
5,961
6,961
7,961
8,961
9,961
10,961
11,961
12,961
13,961
14,961
15,961
16,961
17,961
18,961
19,961
20,961
21,961
22,955
23,955
24,955
25,955
26,955
27,955
28,955
29,955
30,955
31,955
32,955
33,955
34,955
35,955
36,955
37,955
38,955
39,955
40,955
41,955
42,955
43,955
44,955
45,955
46,955
47,955
48,955
49,955
50,955
51,955
52,955
53,955
54,955
55,955
56,955
57,955
58,955
59,955
60,955
61,955
62,955
63,955
64,955
65,955
66,955
67,955
68,955
69,955
70,955
71,955
72,955
73,955
74,955
75,955
76,955
77,955
78,955
79,955
80,955
81,955
82,955
83,955
84,955
85,955
86,955
87,955
88,955
89,955
90,955
