generation,best_cost
0,1983
1,1946
2,1940
3,1907
4,1907
5,1902
6,1902
7,1902
8,1902
9,1902
10,1884
11,1842
12,1842
13,1752
14,1698
15,1696
16,1696
17,1696
18,1696
19,1696
20,1696
21,1696
22,1696
23,1696
24,1684
25,1684
26,1684
27,1684
28,1684
29,1684
30,1684
31,1684
32,1684
33,1684
34,1684
35,1684
36,1684
37,1684
38,1684
39,1684
40,1684
41,1684
42,1684
43,1684
44,1684
45,1684
46,1684
47,1684
48,1684
49,1684
50,1684
51,1684
52,1684
53,1684
54,1684
55,1684
56,1684
57,1684
58,1684
59,1684
60,1684
61,1684
62,1684
63,1684
64,1684
65,1684
66,1684
67,1684
68,1684
69,1662
70,1662
71,1662
72,1662
73,1662
74,1662
75,1662
76,1662
77,1662
78,1662
79,1662
80,1662
81,1662
82,1662
83,1662
84,1662
85,1662
86,1662
87,1662
88,1662
89,1662
90,1662
