generation,best_cost
0,796
1,796
2,796
3,796
4,796
5,786
6,780
7,776
8,767
9,767
10,751
11,745
12,744
13,734
14,734
15,734
16,734
17,734
18,734
19,734
20,734
21,734
22,734
23,734
24,734
25,734
26,734
27,734
28,734
29,734
30,734
31,734
32,734
33,731
34,731
35,731
36,731
37,731
38,731
39,731
40,731
41,731
42,731
43,731
44,731
45,731
46,731
47,731
48,731
49,731
50,731
51,731
52,731
53,731
54,731
55,731
56,731
57,731
58,731
59,731
60,731
61,731
62,731
63,731
64,731
65,731
66,731
67,731
68,731
69,731
70,731
71,731
72,730
73,730
74,726
75,726
76,726
77,726
78,726
79,726
80,726
81,726
82,726
83,726
84,726
85,726
86,726
87,726
88,726
89,726
90,726
