generation,best_cost
0,1553
1,1553
2,1545
3,1451
4,1451
5,1391
6,1278
7,1278
8,1278
9,1278
10,1278
11,1278
12,1278
13,1278
14,1278
15,1278
16,1278
17,1278
18,1278
19,1278
20,1278
21,1278
22,1278
23,1278
24,1278
25,1278
26,1278
27,1278
28,1278
29,1278
30,1278
31,1278
32,1278
33,1278
34,1278
35,1278
36,1278
37,1278
38,1278
39,1278
40,1278
41,1272
42,1272
43,1272
44,1272
45,1272
46,1272
47,1272
48,1272
49,1272
50,1272
51,1272
52,1272
53,1272
54,1272
55,1272
56,1272
57,1272
58,1272
59,1272
60,1272
61,1272
62,1272
63,1272
64,1272
65,1272
66,1272
67,1272
68,1272
69,1272
70,1272
71,1272
72,1272
73,1272
74,1272
75,1272
76,1272
77,1272
78,1272
79,1272
80,1272
81,1272
82,1272
83,1272
84,1272
85,1272
86,1272
87,1272
88,1272
89,1272
90,1272
