generation,best_cost
0,763
1,763
2,763
3,763
4,763
5,763
6,763
7,763
8,752
9,746
10,729
11,729
12,729
13,707
14,701
15,695
16,686
17,684
18,684
19,674
20,667
21,663
22,663
23,663
24,663
25,663
26,663
27,663
28,663
29,663
30,663
31,663
32,663
33,663
34,663
35,663
36,663
37,663
38,663
39,663
40,663
41,663
42,663
43,663
44,663
45,663
46,663
47,663
48,663
49,663
50,663
51,663
52,663
53,663
54,663
55,663
56,663
57,663
58,655
59,655
60,655
61,655
62,655
63,655
64,655
65,655
66,655
67,655
68,655
69,655
70,655
71,655
72,655
73,655
74,655
75,655
76,655
77,655
78,655
79,655
80,655
81,655
82,655
83,655
84,655
85,655
86,655
87,655
88,655
89,655
90,655
